step,g_max,exit_g_avg,onset_x_wall,x30_j4,wall_M_exit,exit_M_avg
0,0.016271673,0.0057764789,15.966378,18.640749,3.8784037,4.05089
4000,0.01627174,0.0057765236,15.966378,18.739799,3.8784075,4.0508885
8000,0.016271356,0.005776342,15.966378,18.640749,3.8783998,4.0508957
12000,0.016271783,0.0057762889,15.966378,18.640749,3.8784127,4.0509009
16000,0.016271774,0.0057764896,15.966378,18.739799,3.8784015,4.0508895
20000,0.01627131,0.0057763867,15.966378,18.640749,3.8784013,4.0508971
24000,0.016271589,0.0057764188,15.966378,18.640749,3.8784082,4.0508986
