# markii vane — 平滑化輪郭 (周期スプライン, s=0.05*m)
# 入力: vane_markii_profile.csv (表の点 + 復元円弧)
# 検査: 表点からの max 0.00842 cm / 折れ角 max 79.32° / R_LE 1.279 R_TE 0.018 cm
i,x_cm,y_cm
256,5.60077,2.08527
257,5.59710,2.09364
258,5.59344,2.10202
259,5.58978,2.11039
260,5.58611,2.11876
261,5.58244,2.12714
262,5.57877,2.13551
263,5.57510,2.14388
264,5.57143,2.15225
265,5.56776,2.16062
266,5.56409,2.16899
267,5.56041,2.17736
268,5.55673,2.18573
269,5.55305,2.19409
270,5.54937,2.20246
271,5.54569,2.21083
272,5.54201,2.21919
273,5.53832,2.22756
274,5.53464,2.23592
275,5.53095,2.24429
276,5.52726,2.25265
277,5.52357,2.26101
278,5.51988,2.26938
279,5.51619,2.27774
280,5.51250,2.28610
281,5.50880,2.29446
282,5.50510,2.30282
283,5.50141,2.31118
284,5.49771,2.31953
285,5.49400,2.32789
286,5.49030,2.33625
287,5.48660,2.34460
288,5.48289,2.35296
289,5.47919,2.36132
290,5.47548,2.36967
291,5.47177,2.37802
292,5.46806,2.38638
293,5.46434,2.39473
294,5.46063,2.40308
295,5.45692,2.41143
296,5.45320,2.41978
297,5.44948,2.42813
298,5.44576,2.43648
299,5.44204,2.44483
300,5.43832,2.45318
301,5.43459,2.46153
302,5.43087,2.46987
303,5.42714,2.47822
304,5.42341,2.48657
305,5.41968,2.49491
306,5.41595,2.50326
307,5.41222,2.51160
308,5.40849,2.51994
309,5.40475,2.52829
310,5.40102,2.53663
311,5.39728,2.54497
312,5.39354,2.55331
313,5.38980,2.56165
314,5.38605,2.56999
315,5.38231,2.57833
316,5.37856,2.58666
317,5.37482,2.59500
318,5.37107,2.60334
319,5.36732,2.61167
320,5.36357,2.62001
321,5.35982,2.62834
322,5.35606,2.63668
323,5.35231,2.64501
324,5.34855,2.65334
325,5.34479,2.66168
326,5.34103,2.67001
327,5.33727,2.67834
328,5.33351,2.68667
329,5.32975,2.69500
330,5.32598,2.70333
331,5.32221,2.71165
332,5.31844,2.71998
333,5.31467,2.72831
334,5.31090,2.73664
335,5.30713,2.74496
336,5.30336,2.75329
337,5.29958,2.76161
338,5.29580,2.76993
339,5.29203,2.77826
340,5.28825,2.78658
341,5.28446,2.79490
342,5.28068,2.80322
343,5.27690,2.81154
344,5.27311,2.81986
345,5.26932,2.82818
346,5.26553,2.83650
347,5.26174,2.84482
348,5.25795,2.85313
349,5.25416,2.86145
350,5.25037,2.86977
351,5.24657,2.87808
352,5.24277,2.88639
353,5.23897,2.89471
354,5.23517,2.90302
355,5.23137,2.91133
356,5.22757,2.91964
357,5.22376,2.92796
358,5.21996,2.93627
359,5.21615,2.94458
360,5.21234,2.95288
361,5.20853,2.96119
362,5.20472,2.96950
363,5.20090,2.97781
364,5.19709,2.98611
365,5.19327,2.99442
366,5.18945,3.00272
367,5.18563,3.01103
368,5.18181,3.01933
369,5.17799,3.02763
370,5.17417,3.03594
371,5.17034,3.04424
372,5.16651,3.05254
373,5.16269,3.06084
374,5.15886,3.06914
375,5.15503,3.07744
376,5.15119,3.08574
377,5.14736,3.09403
378,5.14352,3.10233
379,5.13969,3.11063
380,5.13585,3.11892
381,5.13201,3.12722
382,5.12816,3.13551
383,5.12432,3.14380
384,5.12048,3.15210
385,5.11663,3.16039
386,5.11278,3.16868
387,5.10893,3.17697
388,5.10508,3.18526
389,5.10123,3.19355
390,5.09738,3.20184
391,5.09352,3.21012
392,5.08967,3.21841
393,5.08581,3.22670
394,5.08195,3.23498
395,5.07809,3.24327
396,5.07423,3.25155
397,5.07036,3.25984
398,5.06650,3.26812
399,5.06263,3.27640
400,5.05876,3.28468
401,5.05489,3.29296
402,5.05102,3.30124
403,5.04715,3.30952
404,5.04327,3.31780
405,5.03940,3.32608
406,5.03552,3.33436
407,5.03164,3.34263
408,5.02776,3.35091
409,5.02388,3.35918
410,5.01999,3.36746
411,5.01611,3.37573
412,5.01222,3.38401
413,5.00833,3.39228
414,5.00444,3.40055
415,5.00055,3.40882
416,4.99666,3.41709
417,4.99277,3.42536
418,4.98887,3.43363
419,4.98497,3.44190
420,4.98108,3.45016
421,4.97718,3.45843
422,4.97327,3.46670
423,4.96937,3.47496
424,4.96547,3.48323
425,4.96156,3.49149
426,4.95765,3.49975
427,4.95374,3.50802
428,4.94983,3.51628
429,4.94592,3.52454
430,4.94201,3.53280
431,4.93809,3.54106
432,4.93418,3.54932
433,4.93026,3.55758
434,4.92634,3.56583
435,4.92242,3.57409
436,4.91849,3.58235
437,4.91457,3.59060
438,4.91064,3.59885
439,4.90672,3.60711
440,4.90279,3.61536
441,4.89886,3.62361
442,4.89492,3.63187
443,4.89099,3.64012
444,4.88706,3.64837
445,4.88312,3.65662
446,4.87918,3.66486
447,4.87524,3.67311
448,4.87130,3.68136
449,4.86736,3.68961
450,4.86341,3.69785
451,4.85947,3.70610
452,4.85552,3.71434
453,4.85157,3.72258
454,4.84762,3.73083
455,4.84367,3.73907
456,4.83972,3.74731
457,4.83576,3.75555
458,4.83181,3.76379
459,4.82785,3.77203
460,4.82389,3.78027
461,4.81993,3.78851
462,4.81596,3.79674
463,4.81200,3.80498
464,4.80803,3.81321
465,4.80407,3.82145
466,4.80010,3.82968
467,4.79613,3.83792
468,4.79216,3.84615
469,4.78818,3.85438
470,4.78421,3.86261
471,4.78023,3.87084
472,4.77625,3.87907
473,4.77227,3.88730
474,4.76829,3.89553
475,4.76431,3.90375
476,4.76033,3.91198
477,4.75634,3.92021
478,4.75235,3.92843
479,4.74836,3.93666
480,4.74437,3.94488
481,4.74038,3.95310
482,4.73639,3.96132
483,4.73239,3.96954
484,4.72840,3.97777
485,4.72440,3.98598
486,4.72040,3.99420
487,4.71640,4.00242
488,4.71240,4.01064
489,4.70839,4.01886
490,4.70439,4.02707
491,4.70038,4.03529
492,4.69637,4.04350
493,4.69236,4.05171
494,4.68835,4.05993
495,4.68433,4.06814
496,4.68032,4.07635
497,4.67630,4.08456
498,4.67228,4.09277
499,4.66826,4.10098
500,4.66424,4.10919
501,4.66022,4.11740
502,4.65619,4.12560
503,4.65217,4.13381
504,4.64814,4.14201
505,4.64411,4.15022
506,4.64008,4.15842
507,4.63605,4.16662
508,4.63201,4.17483
509,4.62798,4.18303
510,4.62394,4.19123
511,4.61990,4.19943
512,4.61586,4.20763
513,4.61182,4.21583
514,4.60777,4.22402
515,4.60373,4.23222
516,4.59968,4.24042
517,4.59563,4.24861
518,4.59158,4.25681
519,4.58753,4.26500
520,4.58348,4.27319
521,4.57942,4.28138
522,4.57537,4.28957
523,4.57131,4.29777
524,4.56725,4.30595
525,4.56319,4.31414
526,4.55913,4.32233
527,4.55506,4.33052
528,4.55100,4.33871
529,4.54693,4.34689
530,4.54286,4.35508
531,4.53879,4.36326
532,4.53472,4.37144
533,4.53065,4.37963
534,4.52657,4.38781
535,4.52250,4.39599
536,4.51842,4.40417
537,4.51434,4.41235
538,4.51026,4.42053
539,4.50617,4.42870
540,4.50209,4.43688
541,4.49800,4.44506
542,4.49391,4.45323
543,4.48982,4.46141
544,4.48573,4.46958
545,4.48164,4.47776
546,4.47755,4.48593
547,4.47345,4.49410
548,4.46935,4.50227
549,4.46525,4.51044
550,4.46115,4.51861
551,4.45705,4.52678
552,4.45295,4.53494
553,4.44884,4.54311
554,4.44474,4.55128
555,4.44063,4.55944
556,4.43652,4.56761
557,4.43240,4.57577
558,4.42829,4.58393
559,4.42418,4.59209
560,4.42006,4.60025
561,4.41594,4.60841
562,4.41182,4.61657
563,4.40770,4.62473
564,4.40358,4.63289
565,4.39945,4.64105
566,4.39533,4.64920
567,4.39120,4.65736
568,4.38707,4.66551
569,4.38294,4.67367
570,4.37881,4.68182
571,4.37467,4.68997
572,4.37054,4.69812
573,4.36640,4.70627
574,4.36226,4.71442
575,4.35812,4.72257
576,4.35398,4.73072
577,4.34983,4.73887
578,4.34569,4.74701
579,4.34154,4.75516
580,4.33739,4.76330
581,4.33324,4.77145
582,4.32909,4.77959
583,4.32493,4.78773
584,4.32078,4.79587
585,4.31662,4.80401
586,4.31246,4.81215
587,4.30830,4.82029
588,4.30414,4.82843
589,4.29998,4.83657
590,4.29581,4.84470
591,4.29165,4.85284
592,4.28748,4.86097
593,4.28331,4.86911
594,4.27914,4.87724
595,4.27496,4.88537
596,4.27079,4.89351
597,4.26661,4.90164
598,4.26243,4.90977
599,4.25825,4.91789
600,4.25407,4.92602
601,4.24989,4.93415
602,4.24571,4.94228
603,4.24152,4.95040
604,4.23733,4.95853
605,4.23314,4.96665
606,4.22895,4.97477
607,4.22476,4.98290
608,4.22056,4.99102
609,4.21637,4.99914
610,4.21217,5.00726
611,4.20797,5.01538
612,4.20377,5.02349
613,4.19957,5.03161
614,4.19536,5.03973
615,4.19116,5.04784
616,4.18695,5.05596
617,4.18274,5.06407
618,4.17853,5.07218
619,4.17432,5.08030
620,4.17011,5.08841
621,4.16589,5.09652
622,4.16167,5.10463
623,4.15745,5.11274
624,4.15323,5.12084
625,4.14901,5.12895
626,4.14479,5.13706
627,4.14056,5.14516
628,4.13634,5.15327
629,4.13211,5.16137
630,4.12788,5.16947
631,4.12364,5.17757
632,4.11941,5.18567
633,4.11518,5.19377
634,4.11094,5.20187
635,4.10670,5.20997
636,4.10246,5.21807
637,4.09822,5.22617
638,4.09397,5.23426
639,4.08973,5.24236
640,4.08548,5.25045
641,4.08123,5.25854
642,4.07698,5.26663
643,4.07273,5.27473
644,4.06848,5.28282
645,4.06422,5.29091
646,4.05996,5.29899
647,4.05570,5.30708
648,4.05144,5.31517
649,4.04718,5.32325
650,4.04291,5.33134
651,4.03865,5.33942
652,4.03438,5.34750
653,4.03011,5.35559
654,4.02584,5.36367
655,4.02156,5.37175
656,4.01729,5.37983
657,4.01301,5.38790
658,4.00873,5.39598
659,4.00445,5.40406
660,4.00017,5.41213
661,3.99588,5.42021
662,3.99160,5.42828
663,3.98731,5.43635
664,3.98302,5.44442
665,3.97873,5.45249
666,3.97443,5.46056
667,3.97013,5.46863
668,3.96584,5.47669
669,3.96154,5.48476
670,3.95723,5.49282
671,3.95293,5.50089
672,3.94862,5.50895
673,3.94432,5.51701
674,3.94001,5.52507
675,3.93569,5.53313
676,3.93138,5.54119
677,3.92706,5.54925
678,3.92275,5.55730
679,3.91843,5.56536
680,3.91410,5.57341
681,3.90978,5.58147
682,3.90545,5.58952
683,3.90113,5.59757
684,3.89680,5.60562
685,3.89246,5.61367
686,3.88813,5.62172
687,3.88379,5.62976
688,3.87945,5.63781
689,3.87511,5.64585
690,3.87077,5.65389
691,3.86643,5.66194
692,3.86208,5.66998
693,3.85773,5.67802
694,3.85338,5.68605
695,3.84902,5.69409
696,3.84467,5.70213
697,3.84031,5.71016
698,3.83595,5.71820
699,3.83159,5.72623
700,3.82722,5.73426
701,3.82286,5.74229
702,3.81849,5.75032
703,3.81412,5.75835
704,3.80974,5.76637
705,3.80537,5.77440
706,3.80099,5.78242
707,3.79661,5.79044
708,3.79223,5.79846
709,3.78784,5.80648
710,3.78346,5.81450
711,3.77907,5.82252
712,3.77468,5.83054
713,3.77028,5.83855
714,3.76589,5.84657
715,3.76149,5.85458
716,3.75709,5.86259
717,3.75269,5.87060
718,3.74828,5.87861
719,3.74387,5.88662
720,3.73946,5.89462
721,3.73505,5.90263
722,3.73064,5.91063
723,3.72622,5.91863
724,3.72180,5.92664
725,3.71738,5.93464
726,3.71295,5.94263
727,3.70853,5.95063
728,3.70410,5.95863
729,3.69967,5.96662
730,3.69523,5.97461
731,3.69079,5.98261
732,3.68636,5.99060
733,3.68191,5.99858
734,3.67747,6.00657
735,3.67302,6.01456
736,3.66858,6.02254
737,3.66412,6.03053
738,3.65967,6.03851
739,3.65521,6.04649
740,3.65076,6.05447
741,3.64629,6.06245
742,3.64183,6.07042
743,3.63736,6.07840
744,3.63289,6.08637
745,3.62842,6.09434
746,3.62395,6.10231
747,3.61947,6.11028
748,3.61499,6.11825
749,3.61051,6.12622
750,3.60603,6.13418
751,3.60154,6.14214
752,3.59705,6.15011
753,3.59256,6.15807
754,3.58806,6.16603
755,3.58357,6.17398
756,3.57907,6.18194
757,3.57456,6.18989
758,3.57006,6.19785
759,3.56555,6.20580
760,3.56104,6.21375
761,3.55652,6.22170
762,3.55201,6.22964
763,3.54749,6.23759
764,3.54297,6.24553
765,3.53844,6.25347
766,3.53392,6.26141
767,3.52939,6.26935
768,3.52485,6.27729
769,3.52032,6.28523
770,3.51578,6.29316
771,3.51124,6.30109
772,3.50670,6.30903
773,3.50215,6.31696
774,3.49760,6.32488
775,3.49305,6.33281
776,3.48849,6.34073
777,3.48394,6.34866
778,3.47938,6.35658
779,3.47481,6.36450
780,3.47025,6.37242
781,3.46568,6.38033
782,3.46111,6.38825
783,3.45653,6.39616
784,3.45196,6.40407
785,3.44738,6.41198
786,3.44279,6.41989
787,3.43821,6.42780
788,3.43362,6.43570
789,3.42903,6.44361
790,3.42443,6.45151
791,3.41983,6.45941
792,3.41523,6.46731
793,3.41063,6.47520
794,3.40602,6.48310
795,3.40141,6.49099
796,3.39680,6.49888
797,3.39218,6.50677
798,3.38757,6.51466
799,3.38295,6.52255
800,3.37832,6.53043
801,3.37369,6.53831
802,3.36906,6.54620
803,3.36443,6.55407
804,3.35979,6.56195
805,3.35515,6.56983
806,3.35051,6.57770
807,3.34587,6.58557
808,3.34122,6.59344
809,3.33657,6.60131
810,3.33191,6.60918
811,3.32725,6.61704
812,3.32259,6.62491
813,3.31793,6.63277
814,3.31326,6.64063
815,3.30859,6.64848
816,3.30392,6.65634
817,3.29924,6.66419
818,3.29456,6.67204
819,3.28988,6.67989
820,3.28519,6.68774
821,3.28051,6.69559
822,3.27581,6.70343
823,3.27112,6.71128
824,3.26642,6.71912
825,3.26172,6.72695
826,3.25701,6.73479
827,3.25231,6.74263
828,3.24759,6.75046
829,3.24288,6.75829
830,3.23816,6.76612
831,3.23344,6.77395
832,3.22872,6.78177
833,3.22399,6.78959
834,3.21926,6.79741
835,3.21453,6.80523
836,3.20979,6.81305
837,3.20505,6.82087
838,3.20030,6.82868
839,3.19556,6.83649
840,3.19081,6.84430
841,3.18605,6.85211
842,3.18130,6.85991
843,3.17654,6.86772
844,3.17177,6.87552
845,3.16701,6.88332
846,3.16224,6.89111
847,3.15746,6.89891
848,3.15269,6.90670
849,3.14791,6.91449
850,3.14312,6.92228
851,3.13834,6.93007
852,3.13354,6.93785
853,3.12875,6.94563
854,3.12395,6.95341
855,3.11915,6.96119
856,3.11435,6.96897
857,3.10954,6.97674
858,3.10473,6.98451
859,3.09992,6.99228
860,3.09510,7.00005
861,3.09028,7.00782
862,3.08545,7.01558
863,3.08062,7.02334
864,3.07579,7.03110
865,3.07096,7.03886
866,3.06612,7.04661
867,3.06128,7.05437
868,3.05643,7.06212
869,3.05158,7.06986
870,3.04673,7.07761
871,3.04187,7.08535
872,3.03701,7.09310
873,3.03215,7.10083
874,3.02728,7.10857
875,3.02241,7.11631
876,3.01754,7.12404
877,3.01266,7.13177
878,3.00778,7.13950
879,3.00290,7.14722
880,2.99801,7.15495
881,2.99312,7.16267
882,2.98822,7.17039
883,2.98332,7.17810
884,2.97842,7.18582
885,2.97351,7.19353
886,2.96860,7.20124
887,2.96369,7.20895
888,2.95877,7.21665
889,2.95385,7.22436
890,2.94893,7.23206
891,2.94400,7.23975
892,2.93907,7.24745
893,2.93413,7.25514
894,2.92919,7.26283
895,2.92425,7.27052
896,2.91930,7.27821
897,2.91435,7.28589
898,2.90940,7.29357
899,2.90444,7.30125
900,2.89948,7.30893
901,2.89451,7.31660
902,2.88954,7.32427
903,2.88457,7.33194
904,2.87959,7.33961
905,2.87461,7.34728
906,2.86963,7.35494
907,2.86464,7.36260
908,2.85965,7.37025
909,2.85465,7.37791
910,2.84965,7.38556
911,2.84465,7.39321
912,2.83964,7.40086
913,2.83463,7.40850
914,2.82962,7.41614
915,2.82460,7.42378
916,2.81957,7.43142
917,2.81455,7.43905
918,2.80952,7.44669
919,2.80448,7.45432
920,2.79945,7.46194
921,2.79440,7.46957
922,2.78936,7.47719
923,2.78431,7.48481
924,2.77926,7.49242
925,2.77420,7.50004
926,2.76914,7.50765
927,2.76407,7.51526
928,2.75900,7.52286
929,2.75393,7.53047
930,2.74885,7.53807
931,2.74377,7.54566
932,2.73869,7.55326
933,2.73360,7.56085
934,2.72850,7.56844
935,2.72341,7.57603
936,2.71830,7.58361
937,2.71320,7.59120
