step,Cf_x05,Cf_x2,Cf_x6,xr_h,r_gradu,r_gradk,r_gradw,dF1_inf,dF1_l2,xr_gradu,xr_gradk,xr_gradw
10000,-0.007396328568941012,-0.004538956138108099,0.0003934806718983047,5.033890140770062,0.9973729132045109,0.9843997236509868,0.9999990674687453,0.033440302891639795,0.0019462856403468065,0.9363089483896486,0.9916776083409966,1.0000488783957893
20000,-0.0073963206895525605,-0.0045389340968783895,0.00039349959051110866,5.033886807667354,0.997371369231232,0.9844006967695337,0.9999991053139228,0.033440227159494684,0.0019465306595032321,0.9363088097644089,0.9916784246519056,1.0000488320281924
30000,-0.007396318143159905,-0.004538962670889653,0.0003935022948717848,5.033839522555464,0.9973716789663167,0.9843997390512994,0.99999909274623,0.03344099509894827,0.0019463941778396212,0.9363094466188646,0.9916778521076215,1.0000488385762947
40000,-0.007396313278460493,-0.004538963955369195,0.000393497153702481,5.033895673361676,0.9973725086421775,0.9844007606684791,0.9999990899595224,0.03344086651845646,0.0019461135257935773,0.9363096713097563,0.9916778386744938,1.00004885102041
50000,-0.007396312876671057,-0.004538960894797286,0.0003934991471164798,5.033889201607447,0.9973721994963949,0.9844009991472447,0.9999990763281432,0.033431272314514926,0.0019462616416854883,0.9363089713967044,0.9916777030640779,1.0000488143924948
60000,-0.007396300388692712,-0.00453895487030119,0.0003935069601741789,5.033876441180915,0.99737119726871,0.9844013592568478,0.9999990934078391,0.03343407590058878,0.0019465087921684877,0.9363092697621991,0.9916779280862089,1.0000488434938986
70000,-0.0073963068088926135,-0.004538950295937352,0.00039352258357488784,5.033857751778113,0.9973716883090565,0.9844019133603382,0.9999991051268297,0.03343632375853289,0.0019463551634943672,0.9363087150305179,0.9916781147057963,1.0000488240249827
80000,-0.007396310912909643,-0.004538955357980363,0.00039353772805329784,5.033887486189303,0.9973702283390826,0.984402532440881,0.99999912098285,0.033434155393794907,0.0019462429344110177,0.9363090109705534,0.991678011845501,1.0000488030937438
90000,-0.0073963087962242565,-0.00453895435158011,0.000393516352963583,5.033858915864403,0.9973707557338198,0.9844007724839211,0.9999991220477167,0.03343132793318915,0.001946373859881101,0.9363089347890554,0.9916784298845392,1.0000488204982882
100000,-0.00739631314365333,-0.0045389546433713636,0.00039350772502875857,5.033879202838199,0.9973705076689386,0.9844019923134563,0.9999990851868219,0.03343436664034227,0.0019462989338435255,0.936309152896418,0.991678452528831,1.0000488104337724
110000,-0.007396309957890638,-0.00453896144789643,0.0003935366116291034,5.033877321582849,0.9973702514965829,0.9844021748393966,0.999999134925482,0.03343118335965123,0.0019462037117540301,0.9363089104864769,0.9916783885962106,1.0000488630675481
120000,-0.007396301306278155,-0.004538953094537592,0.00039351212535775515,5.033901543454331,0.9973715645137208,0.9844004810291187,0.999999088199624,0.033427550328821054,0.001946185608542347,0.936309296515622,0.9916782653116961,1.0000488366936007
130000,-0.007396299670391092,-0.004538971937605707,0.0003934691119484342,5.033861362655468,0.997371514093464,0.984402395236562,0.9999990986437088,0.033429486249060836,0.0019463072248115814,0.93630970585853,0.9916780255759611,1.0000488408517847
140000,-0.007396300894597568,-0.004538957140617749,0.00039349444843474467,5.03384388975134,0.9973716685517583,0.9844035335050105,0.9999991023239461,0.03343287083757651,0.0019460885315935995,0.9363094759200005,0.9916781906001655,1.00004886599364
150000,-0.007396296368485647,-0.004538948138964911,0.0003935020822135247,5.03387043878046,0.9973712989904123,0.9844050728399175,0.9999991305368721,0.033447583733718256,0.0019462018930075182,0.9363097982422984,0.9916778285602745,1.0000488033424484
160000,-0.007396292642000552,-0.00453896554852407,0.0003935369926816059,5.033864350782579,0.997370904559273,0.9844041883487825,0.9999990916670304,0.033438972349079665,0.001946473829714889,0.9363090874969348,0.9916782168326143,1.0000488460656738
170000,-0.007396268203703107,-0.0045389405087377715,0.0003935133910827224,5.033894014296222,0.9973710843365363,0.9844025500169338,0.999999087801436,0.033421967356652926,0.0019459353950975697,0.9363094574515687,0.9916778864262213,1.0000487903063384
180000,-0.007396296134291741,-0.004538946100988612,0.00039348482712506813,5.033855066059615,0.9973713923186057,0.9844037971939148,0.9999990906706739,0.033438594174583836,0.0019459610261362067,0.9363096045728398,0.9916780488243448,1.0000488575800004
190000,-0.007396288375306976,-0.00453893513924727,0.00039352480783970927,5.033889332638332,0.9973705440079058,0.984403343145752,0.9999990911576354,0.03343667569991382,0.0019462961806503156,0.9363090638478644,0.9916785894449792,1.0000488438611834
200000,-0.007396282789878092,-0.0045389408043839,0.0003934951378954972,5.03385814736835,0.9973704172563297,0.9844045029246303,0.9999991034568836,0.03341925442765359,0.0019458203692025065,0.9363093598875013,0.9916783264878363,1.0000488485304664
