step,g_max,exit_g_avg,onset_x_wall,x30_j4,wall_M_exit,exit_M_avg
0,0.016271686,0.0057765045,15.966378,18.640749,3.8784063,4.050889
4000,0.016271373,0.0057764924,15.966378,18.640749,3.8783989,4.0508933
8000,0.016271245,0.0057764729,15.966378,18.640749,3.8784051,4.0508919
12000,0.016271461,0.0057763862,15.966378,18.640749,3.8783991,4.0508924
16000,0.016272016,0.0057763909,15.966378,18.640749,3.8784151,4.0508928
20000,0.016271397,0.005776477,15.966378,18.640749,3.8783944,4.0508924
24000,0.016271673,0.0057764789,15.966378,18.640749,3.878406,4.0508904
