"Time_Iter","Outer_Iter","Inner_Iter",    "bgs[P][0]"   ,    "bgs[U][0]"   ,    "bgs[V][0]"   ,    "bgs[h][0]"   ,      "HF[0]"     ,    "maxHF[0]"    ,     "Temp[0]"    ,    "bgs[T][1]"   ,      "HF[1]"     ,   "AvgTemp[1]"   
          0,          53,           0,               -32,               -32,               -32,       1.130140947,                 0,                 0,                 0,      -1.284746545,                 0,                 0
          0,          54,           0,               -32,               -32,               -32,       1.109912617,                 0,                 0,                 0,      -1.297274806,                 0,                 0
          0,          55,           0,               -32,               -32,               -32,       1.088937527,                 0,                 0,                 0,       -1.30968743,                 0,                 0
          0,          56,           0,               -32,               -32,               -32,       1.067173242,                 0,                 0,                 0,      -1.321984459,                 0,                 0
          0,          57,           0,               -32,               -32,               -32,       1.044571711,                 0,                 0,                 0,      -1.334165751,                 0,                 0
          0,          58,           0,               -32,               -32,               -32,       1.021078373,                 0,                 0,                 0,      -1.346230983,                 0,                 0
          0,          59,           0,               -32,               -32,               -32,      0.9966310744,                 0,                 0,                 0,      -1.358179666,                 0,                 0
          0,          60,           0,               -32,               -32,               -32,      0.9711587786,                 0,                 0,                 0,      -1.370011151,                 0,                 0
          0,          61,           0,               -32,               -32,               -32,      0.9445799838,                 0,                 0,                 0,      -1.381724643,                 0,                 0
          0,          62,           0,               -32,               -32,               -32,      0.9168008001,                 0,                 0,                 0,      -1.393319214,                 0,                 0
          0,          63,           0,               -32,               -32,               -32,      0.8877125844,                 0,                 0,                 0,      -1.404793816,                 0,                 0
          0,          64,           0,               -32,               -32,               -32,      0.8571890243,                 0,                 0,                 0,      -1.416147293,                 0,                 0
          0,          65,           0,               -32,               -32,               -32,      0.8250825258,                 0,                 0,                 0,      -1.427378398,                 0,                 0
          0,          66,           0,               -32,               -32,               -32,      0.7912197319,                 0,                 0,                 0,      -1.438485808,                 0,                 0
          0,          67,           0,               -32,               -32,               -32,      0.7553959714,                 0,                 0,                 0,      -1.449468136,                 0,                 0
          0,          68,           0,               -32,               -32,               -32,      0.7173684358,                 0,                 0,                 0,      -1.460323948,                 0,                 0
          0,          69,           0,               -32,               -32,               -32,      0.6768479549,                 0,                 0,                 0,      -1.471051782,                 0,                 0
          0,          70,           0,               -32,               -32,               -32,      0.6334895128,                 0,                 0,                 0,      -1.481650156,                 0,                 0
          0,          71,           0,               -32,               -32,               -32,      0.5868824181,                 0,                 0,                 0,      -1.492117589,                 0,                 0
          0,          72,           0,               -32,               -32,               -32,      0.5365430571,                 0,                 0,                 0,      -1.502452614,                 0,                 0
          0,          73,           0,               -32,               -32,               -32,      0.4819182739,                 0,                 0,                 0,      -1.512653792,                 0,                 0
          0,          74,           0,               -32,               -32,               -32,       0.422420348,                 0,                 0,                 0,      -1.522719728,                 0,                 0
          0,          75,           0,               -32,               -32,               -32,      0.3575471069,                 0,                 0,                 0,      -1.532649086,                 0,                 0
