# NASA TN D-5908 Figure 6(b), w/d = 0.211 — 後壁 q_s/q_fp vs x/d
# 出典: papers/gap_heating/Wieting_1970_NASA-TN-D-5908_deep_cavities_hypersonic.pdf (PDF page 23 下段)
# 取得: PyMuPDF 260 dpi 描画からの目視読み取り (2026-09-19)。不確かさ 絶対 ±0.02 (x/d<0.05 は ±0.05)
x_over_d,q_over_qfp,note
0.010,0.93,"O 1.0 / □ 0.85 の中央"
0.030,0.68,
0.050,0.56,
0.100,0.22,
0.200,0.14,
0.250,0.07,
0.300,0.05,
0.400,0.03,
0.500,0.02,"以降は計測限界帯"
0.750,0.02,
0.940,0.02,
