step,Cf_x05,Cf_x2,Cf_x6,xr_h,r_gradu,r_gradk,r_gradw,dF1_inf,dF1_l2,xr_gradu,xr_gradk,xr_gradw
10000,-0.008444705905149716,-0.006465137883793624,0.00011329799309050425,5.323989646325044,2.168458718278591,1.1342882066553917,0.4999763607845966,0.5285900488542172,0.052007072111330654,1.8503462342189798,0.6234634385600678,0.5000031934127971
20000,-0.007361879351422579,-0.005066774830869993,0.00037734209663977324,5.187281228790966,2.2109336510294164,1.5522545121231066,0.4999827401297622,0.5387106146681584,0.056066467306054205,1.865917660960737,0.624353176270643,0.5000220120759834
30000,-0.007287272620256958,-0.004650810149381672,0.00040988430928232936,5.053767239677188,2.239878514397429,1.5992484329308025,0.49998356942272626,0.541965277782426,0.057220224023928484,1.8695191808073397,0.6276900116844368,0.5000238394182175
40000,-0.007293869349617866,-0.004577916325312734,0.0004262778709668279,5.004452156171033,2.2423414811012994,1.594054268531703,0.4999835710576464,0.5455421132681126,0.05746760582665278,1.8702246396868305,0.6291427386869625,0.5000237468375048
50000,-0.0073085668713648595,-0.004565753012298949,0.0004439167361720407,4.968385445690958,2.241646037977015,1.5895239380177786,0.4999834834810175,0.548126810617954,0.0575716283581406,1.8701756815148556,0.6294875049334783,0.5000235102602933
60000,-0.007325783919139296,-0.004564001653680372,0.0004621163965491388,4.933035638920406,2.2410793476201136,1.5871867002289246,0.49998344089379637,0.5498375237973363,0.05765815736703972,1.8699436795453241,0.6296012768849344,0.500023359987132
70000,-0.007342586233705169,-0.004565271550960536,0.00047868453921135514,4.902052878908412,2.240709785810081,1.5858760486780303,0.4999833742323225,0.5509565769283429,0.057720431265184724,1.8696836237626966,0.6296347105918003,0.5000232505230923
80000,-0.007357024793411941,-0.0045673766864388786,0.0004923835000556147,4.876541453937911,2.240464432620178,1.5850852496522043,0.49998338450265706,0.5516956774548956,0.05776404488903396,1.869439900615628,0.6296237374138857,0.5000231761820965
90000,-0.007368638326491854,-0.0045698277610101605,0.0005028019049187991,4.856760407726588,2.2403280683631035,1.5845614502907819,0.4999833864783781,0.5521781288187821,0.057794710585553494,1.8692340481431458,0.6295918881298519,0.5000231085792264
100000,-0.007377477050999363,-0.004572018542932358,0.0005105624712394941,4.84201370938021,2.2402527381462676,1.5841774912279754,0.499983386659623,0.5524940389403221,0.05781566111138046,1.8690730560259896,0.6295563605246302,0.5000231037173896
110000,-0.007383960860447476,-0.004573767356360818,0.0005162695900261778,4.832092588348672,2.240205546811665,1.5838932338925378,0.4999834086430532,0.5527172933130403,0.05783095507777459,1.8689529688674433,0.6295226094006983,0.5000231012999733
120000,-0.007388674101311499,-0.004575088874048812,0.0005201621355767131,4.825409667739374,2.240190782130077,1.5836819218552074,0.49998339819901383,0.5528527084386192,0.05784125239274556,1.8688648463044664,0.629497460254101,0.5000230870623813
130000,-0.0073919580814834004,-0.0045760607859335846,0.0005228907257577674,4.8207499119345165,2.2401867525569505,1.5835208101564906,0.4999834088937752,0.5529379973902868,0.057848031090243064,1.868804106630324,0.6294767558101797,0.5000230906219695
140000,-0.007394222929893825,-0.004576742312831706,0.0005247156143149268,4.8176725259766355,2.240179713229949,1.5833984316673495,0.4999834347856873,0.5530018475802487,0.05785194175672741,1.868759236027896,0.6294630274612559,0.5000230955738342
