step,Cf_x05,Cf_x2,Cf_x6,xr_h,r_gradu,r_gradk,r_gradw,dF1_inf,dF1_l2,xr_gradu,xr_gradk,xr_gradw
10000,-0.007398288280948097,-0.004578026573303539,0.0005290207534563163,4.810618326109971,2.23988279068382,1.5840626496966628,0.4999834151022189,0.5530671966918967,0.05779305506998931,1.8686659301555033,0.6294702090903139,0.5000231318718381
20000,-0.007398271132168696,-0.004578058300011001,0.0005290503370808607,4.810663330066232,2.2398812895809175,1.5840697474342822,0.4999834252530895,0.5530528698231763,0.05779274899787235,1.868667645022184,0.6294700988359904,0.5000231407254171
30000,-0.007398275995952786,-0.0045780379224910584,0.0005290705490781641,4.810653375276149,2.239879685061399,1.5840729324076677,0.4999834052535552,0.5530609599409877,0.05779236578100247,1.86866714225423,0.62947067641379,0.5000231553009433
40000,-0.007398261589707523,-0.004578042787781573,0.0005290502336777284,4.8106439538236065,2.2398795331938324,1.5840782420021602,0.4999834165963875,0.5530613655144947,0.05779223813605282,1.8686663844132843,0.6294711088735732,0.500023133698685
50000,-0.007398256630511426,-0.004578023919003778,0.0005290647598321433,4.810640035341343,2.2398770352932207,1.5840869497602617,0.4999834279385527,0.553056459597026,0.057792175031163864,1.8686677295025313,0.6294715660201556,0.5000231266804871
60000,-0.007398252544171035,-0.004578033515746549,0.0005290655678164604,4.810658349667889,2.239876313610028,1.5840878310027129,0.49998341021934095,0.5530547308477283,0.05779164540454743,1.8686662543507808,0.6294722858870687,0.5000231344408927
70000,-0.007398241959710601,-0.00457802271612998,0.0005290438087097644,4.810631930115038,2.239876026324692,1.5840943752883088,0.4999834049755566,0.5530545200885613,0.05779140986231743,1.8686665293414013,0.62947263533291,0.500023115660847
80000,-0.007398233866424669,-0.004578012962008231,0.0005290501404678178,4.810641531382877,2.2398759129993637,1.5840971338547987,0.499983436394338,0.553053832838069,0.05779116236627685,1.8686660993459725,0.6294731299190932,0.50002312200499
90000,-0.007398228789483276,-0.004578017642487806,0.0005290733101252014,4.810637735323005,2.239873789499507,1.5841017355852753,0.49998343022116354,0.5530483820075693,0.05779095434978656,1.8686673482520488,0.6294730921448163,0.5000231401848889
100000,-0.00739822439377127,-0.004578006251364853,0.0005290918114699177,4.810647969014086,2.239873999586624,1.5841066915643427,0.49998342022161235,0.5530538610300855,0.057790568648193694,1.8686679629305996,0.629473895227867,0.5000231330828938
110000,-0.007398220407189276,-0.0045780250638396336,0.0005290633118365554,4.8106013689860125,2.239871903053734,1.584109078014154,0.49998342268760304,0.5530526673025353,0.05779020716112861,1.868667423703159,0.6294743159483066,0.5000231424287858
120000,-0.007398228960186317,-0.004578017990110834,0.0005290691831125583,4.810624994828832,2.239872611492563,1.584113737034896,0.4999834043701053,0.5530493887826976,0.057790321895185424,1.8686673346706903,0.6294742686536382,0.5000231175198062
130000,-0.007398233926145388,-0.0045780059173208786,0.0005290868702940838,4.810633324968114,2.239870563993332,1.584114548370654,0.4999834176264173,0.5530516004639876,0.05778991105485134,1.8686673839668007,0.629474495052239,0.5000231181112634
140000,-0.007398216765091773,-0.004578025429828401,0.0005290728275669448,4.810610829162902,2.2398680056652647,1.5841178191791307,0.4999834096612558,0.5530544032866161,0.05778995995858199,1.8686670405098573,0.629475144781324,0.5000231205306885
150000,-0.007398214486900827,-0.004578024778785702,0.0005290957676587208,4.81060047267717,2.239869732011453,1.5841208128154132,0.49998342025419173,0.5530561332376065,0.0577895722905757,1.8686671704273174,0.6294757101472539,0.5000231407219476
160000,-0.007398217567697878,-0.004578025643953706,0.0005290700343819148,4.810578355314281,2.239867228176239,1.5841256400049541,0.4999834198447332,0.5530515054814391,0.05778928335779051,1.8686671355622317,0.629475768262873,0.5000231472955602
170000,-0.007398214542224434,-0.004578019414531165,0.0005290813716639181,4.810605686865973,2.2398673267920515,1.584129430239259,0.49998343622728975,0.5530599734384283,0.05778926440724181,1.8686669417235562,0.629476265071614,0.5000231269670277
180000,-0.007398212856993431,-0.004578028564210615,0.0005290833269987508,4.810626948049225,2.2398657384572798,1.5841311936946572,0.49998340813575604,0.5530616630574559,0.05778936548857638,1.8686675192660296,0.629476055446976,0.500023149977319
190000,-0.007398228940755801,-0.004578021804733267,0.0005290913253941121,4.810615670190149,2.2398653219883844,1.5841339380804116,0.4999833998564705,0.5530582543460836,0.05778918470504132,1.8686676839678666,0.6294768257598871,0.5000231386537102
200000,-0.007398200243556636,-0.004578005918028257,0.0005290532354683484,4.810597705972669,2.2398660818180582,1.5841370995314725,0.4999834269180387,0.5530585222385587,0.05778871858067273,1.8686672894500798,0.6294770908840337,0.5000231351135944
210000,-0.0073982152070089235,-0.004578014537699568,0.0005290815317560328,4.810575377788653,2.2398652229689913,1.5841386381605733,0.49998342040817834,0.5530548747851893,0.05778908401503296,1.868667511391622,0.6294771014081176,0.500023136254724
220000,-0.007398198713835553,-0.0045780104477534025,0.0005290849486806939,4.810599312812643,2.2398638112813734,1.5841420732458646,0.49998343220472125,0.55305943604865,0.0577885866885177,1.8686676874049124,0.6294775698127704,0.5000231322089311
230000,-0.007398205987273836,-0.004577995407916929,0.000529106605695381,4.810604060824662,2.239864472352524,1.5841427042347553,0.49998342341141483,0.5530595130216365,0.0577885989552669,1.8686683038145635,0.629477767995609,0.5000231252718434
240000,-0.0073982065449839755,-0.0045780110781328395,0.000529089257167769,4.810604914496154,2.239863616560248,1.5841466321755058,0.4999834301780631,0.553061958393543,0.05778854349643479,1.868668027614014,0.6294779121143799,0.5000231441754708
250000,-0.007398202748526053,-0.0045780104160702915,0.0005290951753166667,4.810609636843326,2.2398632160229903,1.5841471851115847,0.49998342943912516,0.5530629709466119,0.057788453305883426,1.8686668899197738,0.6294784022612336,0.5000231272862168
260000,-0.007398186067388768,-0.004578001900638147,0.0005290904541942917,4.810594882368917,2.2398626240522415,1.5841482797575968,0.4999834134174376,0.55306076462846,0.05778806331717392,1.8686672471562311,0.6294788287253115,0.5000231445288422
270000,-0.007398180682780773,-0.00457801050091379,0.000529104384292826,4.81058355868021,2.2398605719517333,1.5841495366404672,0.49998342735835616,0.5530562944280348,0.05778808989801905,1.8686695989228255,0.6294788499019698,0.5000231379687394
280000,-0.0073981792728713665,-0.004577997510821014,0.0005291005196745607,4.810602746129943,2.239858924534891,1.5841524332672265,0.4999834296461486,0.553058375203966,0.057788332418207175,1.8686693729100101,0.6294790637462999,0.5000231331003356
290000,-0.007398168278106676,-0.004578006052736914,0.0005290891764198141,4.810578814940395,2.23986099286371,1.5841566758838497,0.4999834219346622,0.5530557080730347,0.05778771765179062,1.8686681593643122,0.6294794529178717,0.500023140380259
300000,-0.007398171549151383,-0.004578013221854512,0.0005291012815688971,4.810606246339694,2.2398625647025447,1.5841574171668116,0.4999834432345107,0.553051718901027,0.05778790135286574,1.868668719146928,0.6294795864179277,0.5000231476439235
310000,-0.007398150643125467,-0.004577997229238744,0.0005290801154140582,4.810569236259096,2.239859113017785,1.5841578636675986,0.4999834061935523,0.5530502513758482,0.05778770588311496,1.8686692887183423,0.629480058750846,0.5000231355063525
320000,-0.007398153464359436,-0.004577996426021116,0.0005291014525264805,4.81057698481659,2.239859821996304,1.5841637132689632,0.4999834236701208,0.5530550355978594,0.05778734687343414,1.86866924057669,0.6294804862899206,0.5000231333948428
330000,-0.007398149551657194,-0.004577977423060128,0.0005291070715549724,4.810575485073755,2.23985922945818,1.584162951429973,0.4999834251680007,0.5530607734550224,0.057787225256055286,1.8686691775801718,0.6294804230116177,0.5000231445225345
340000,-0.007398145601167391,-0.004578000198583936,0.0005291332762285332,4.8105984790354395,2.2398593949859342,1.5841657665074165,0.4999834317708932,0.5530577914627979,0.05778702045617191,1.8686677439588184,0.6294809377161195,0.5000231309436243
350000,-0.007398137591785751,-0.004577994674315284,0.0005291163018611784,4.810574877763114,2.2398576739325486,1.5841688111632455,0.4999834157504427,0.5530531789501097,0.05778684539710941,1.8686685003329149,0.6294807152265509,0.5000231378140888
360000,-0.007398137703685403,-0.004577982976982819,0.0005291073386015374,4.810557274516608,2.2398587652520416,1.5841692914533483,0.4999834141048603,0.5530467041633031,0.057786843789439074,1.8686686374188615,0.629481051965745,0.5000231304956901
370000,-0.007398120419936453,-0.004578005627459771,0.0005291080980664018,4.810583106801729,2.239857555847319,1.5841734296048258,0.49998343239197934,0.5530548013232799,0.05778704407308942,1.8686678414127302,0.6294814506946252,0.5000231451037611
380000,-0.007398135403866288,-0.004577998689297869,0.0005291006166444944,4.81058264369254,2.2398521255795267,1.5841726004520194,0.4999834016776548,0.5530494782351263,0.057786452973694544,1.8686692699716039,0.6294815819539207,0.5000231380864943
390000,-0.00739812119193565,-0.004578008914910043,0.0005290932890470598,4.810582211997765,2.239853042591182,1.5841744953577026,0.49998342605590324,0.5530491636132349,0.05778686818543195,1.8686698686686323,0.6294818549890389,0.500023142374518
400000,-0.0073981196107174105,-0.004577982513961175,0.0005291141662296603,4.810565897384218,2.2398535926869223,1.584175188165176,0.4999834110705485,0.5530559329076552,0.057786331114209666,1.8686695599766148,0.6294821376991753,0.5000231455002907
410000,-0.007398112551405102,-0.004578003542899569,0.0005291111725360106,4.810593293620472,2.239853558928569,1.5841774493148642,0.4999834331109557,0.5530554940098112,0.057786583796895115,1.86866908937748,0.6294822795900801,0.5000231313160182
420000,-0.007398108600668599,-0.004577996995808889,0.0005290948365190611,4.810579412144691,2.239853181748277,1.5841766860935333,0.4999833985991362,0.553046883321024,0.057786579281049875,1.8686698625042,0.6294827616266769,0.5000231240764806
430000,-0.0073981132818311006,-0.004578008035637575,0.0005291302757178753,4.810577391655024,2.239854961282894,1.5841809924857757,0.49998342598979373,0.5530463091887969,0.05778610477753836,1.8686695851771233,0.6294827517329542,0.5000231339153135
440000,-0.007398110304625949,-0.004578000342153386,0.0005290804873806952,4.810547262994923,2.2398513440274375,1.5841814980736695,0.4999834030963931,0.5530553146407454,0.05778591303563393,1.8686695773063957,0.6294831393050798,0.5000231363995079
450000,-0.007398107259775007,-0.004577990757720492,0.0005290918093712368,4.810570357410848,2.239851978770826,1.5841829027400576,0.4999834060068775,0.5530487410762766,0.057785884731645365,1.8686701428348702,0.6294836169938659,0.5000231282164668
460000,-0.00739809144743626,-0.004577990692088992,0.0005291094298002581,4.8105852075059525,2.2398522273314105,1.5841852412962056,0.49998341269939145,0.5530438688929935,0.057785884777705444,1.8686697821375344,0.6294833002323345,0.5000231294792116
470000,-0.007398090066397474,-0.004577984157464812,0.0005291172289743609,4.810568428034613,2.239851790570571,1.5841835149091177,0.49998342409097635,0.5530529579988975,0.05778626234670179,1.868669017233938,0.6294839853792091,0.5000231259459297
