x_m,r_m,x_over_rt,r_over_rt  (物理壁 = run_0038_ns_final_rt77p02 のメッシュ壁線; r_t 0.07702 m; 入口直管〜出口 x_F 7.3249 m; 出口半径 0.7750 m)
-5.379863977432250977e-01,4.197957813739776611e-01,-6.985022544860839844e+00,5.450477600097656250e+00
-5.310230255126953125e-01,4.160074591636657715e-01,-6.894612312316894531e+00,5.401291370391845703e+00
-5.240597128868103027e-01,4.121276140213012695e-01,-6.804203033447265625e+00,5.350916862487792969e+00
-5.170964002609252930e-01,4.081572294235229492e-01,-6.713794231414794922e+00,5.299366950988769531e+00
-5.101330280303955078e-01,4.040972888469696045e-01,-6.623383998870849609e+00,5.246654033660888672e+00
-5.031697154045104980e-01,3.999489545822143555e-01,-6.532975196838378906e+00,5.192793846130371094e+00
-4.962063729763031006e-01,3.957135677337646484e-01,-6.442565441131591797e+00,5.137803077697753906e+00
-4.892430603504180908e-01,3.913923501968383789e-01,-6.352156162261962891e+00,5.081697940826416016e+00
-4.822796881198883057e-01,3.869867920875549316e-01,-6.261746406555175781e+00,5.024497509002685547e+00
-4.753163158893585205e-01,3.824984133243560791e-01,-6.171336650848388672e+00,4.966222286224365234e+00
-4.683530032634735107e-01,3.779289722442626953e-01,-6.080927371978759766e+00,4.906894207000732422e+00
-4.613896906375885010e-01,3.732801377773284912e-01,-5.990518093109130859e+00,4.846535205841064453e+00
-4.544263482093811035e-01,3.685537874698638916e-01,-5.900108814239501953e+00,4.785170078277587891e+00
-4.474630057811737061e-01,3.637519478797912598e-01,-5.809699058532714844e+00,4.722824573516845703e+00
-4.404996931552886963e-01,3.588766455650329590e-01,-5.719289779663085938e+00,4.659525394439697266e+00
-4.335363507270812988e-01,3.539300858974456787e-01,-5.628880500793457031e+00,4.595301151275634766e+00
-4.265730082988739014e-01,3.489145636558532715e-01,-5.538470745086669922e+00,4.530181407928466797e+00
-4.196096658706665039e-01,3.438325226306915283e-01,-5.448061466217041016e+00,4.464198112487792969e+00
