y Tt
0 1180
0.080001 1180
0.160002 1180
0.240003 1170
0.320004 1152
0.400005 1136
0.4400056 1126
0.4800061 1105
0.5200066 1070
0.5600071 1025
0.6000076 980
0.6400081 952
0.6800086 940
0.7200091 930
0.8000101 925
