step,g_max,exit_g_avg,onset_x_wall,x30_j4,wall_M_exit,exit_M_avg
24000,0.016189048,0.0057681813,16.06543,18.739799,3.8820901,4.0511189
32000,0.016265212,0.0057753194,15.966378,18.739799,3.8784609,4.0509305
40000,0.016265301,0.0057751243,15.966378,18.739799,3.8784583,4.0509324
48000,0.016265273,0.0057750898,15.966378,18.739799,3.8784552,4.0509338
