step,Cf_x05,Cf_x2,Cf_x6,xr_h,r_gradu,r_gradk,r_gradw,dF1_inf,dF1_l2,xr_gradu,xr_gradk,xr_gradw
10000,-0.008572817342461602,-0.006361436743722345,1.0563470296582128e-05,5.617808496275849,1.040587356588822,0.8194748763104228,0.9999987123936006,0.03969369999967054,0.0022430257724819847,0.9269834746244875,0.9883457681554466,1.0000114570488083
20000,-0.0074256618905082,-0.005012457737917163,0.0002758203698333333,5.361028020998718,0.9893448026612085,0.9641205534228193,1.0000007993212043,0.0195193165403037,0.0014575815229599617,0.9347389765469029,0.9901413370561142,1.0000474466891174
30000,-0.007332981646270248,-0.004609147849848413,0.0003277779782994375,5.195733200001753,0.9969579617699202,0.9999564051130423,1.0000004926055661,0.009236278678692367,0.0006469088932914333,0.9365313980824225,0.9914684229400142,1.0000506560365494
40000,-0.007320306203763507,-0.004541489829194394,0.0003354452974915214,5.1617788776572455,0.9993872957013247,0.9982319800389275,1.000000359028164,0.013255211969184555,0.0006096115773856083,0.937007162614962,0.9916777248824185,1.000050813299592
50000,-0.0073156344412794476,-0.004531654333190322,0.00033677753524582755,5.158131156803961,0.999262464407267,0.9966720654781986,1.0000002643661368,0.015593215446289777,0.0006825706887765495,0.9371157319906065,0.9916512292827114,1.0000505655678713
60000,-0.007315212116047277,-0.004529966092573737,0.000339056736941883,5.1535733126892165,0.999002931382198,0.9959904369444175,1.0000001519620634,0.018055971573334273,0.0007557697269655164,0.9371255011491723,0.9916351063015726,1.0000503953447597
70000,-0.007317705107671284,-0.004529649602947945,0.00034202930269390183,5.147538244894196,0.9988154930202682,0.9953365057682348,1.0000000477720807,0.02024935822036167,0.000833994610391444,0.9371011507988568,0.9916299420291804,1.0000502142798615
80000,-0.007321965784400204,-0.004529716326958894,0.00034523673548894965,5.140609409351593,0.9986538714274847,0.9946263467654961,0.9999999492495723,0.022363282100870685,0.000914449966246626,0.9370587697288243,0.9916297003113722,1.0000500592175936
90000,-0.007327079846144094,-0.0045301109791854545,0.0003487493097068037,5.133202688864424,0.99851162878651,0.9938669950603799,0.999999884652913,0.024327260612234558,0.0009946968244243972,0.93700690473263,0.9916314282425748,1.0000499160312564
100000,-0.007332676698491528,-0.004530567836927013,0.00035240246572017963,5.125529256741263,0.9983878252141528,0.993082593668208,0.9999998029970558,0.02601596246166582,0.0010765027613910427,0.9369511287339843,0.9916338955781266,1.0000498331639207
110000,-0.00733854347417517,-0.004531093821662587,0.0003560225380532505,5.1173758660789,0.9982724520565472,0.992288986017813,0.9999996763736082,0.0273721996978038,0.001166278959829184,0.9368910321507843,0.9916370013953509,1.0000497163391289
120000,-0.007344424384139809,-0.004531567515411951,0.00035965082007339546,5.109297845786862,0.998168008789785,0.9915149587009563,0.9999996307659267,0.02861886678180603,0.0012386194392927082,0.9368325220694435,0.9916403520012955,1.0000495423573597
130000,-0.007350190721454229,-0.004532109593415054,0.00036326960441505804,5.1014269218878034,0.998072488006141,0.99076428830704,0.999999521791212,0.029676359147558617,0.0013091163433445801,0.9367740335580985,0.9916439038471005,1.0000494440407017
