# c3x vane — 平滑化輪郭 (周期スプライン, s=0.05*m)
# 入力: vane_c3x_profile.csv (表の点 + 復元円弧)
# 検査: 表点からの max 0.01040 cm / 折れ角 max 3.78° / R_LE 1.179 R_TE 0.188 cm
i,x_cm,y_cm
256,2.54192,12.95594
257,2.55077,12.95127
258,2.55960,12.94656
259,2.56840,12.94180
260,2.57718,12.93700
261,2.58594,12.93216
262,2.59467,12.92727
263,2.60338,12.92234
264,2.61206,12.91736
265,2.62072,12.91235
266,2.62936,12.90729
267,2.63797,12.90219
268,2.64655,12.89704
269,2.65511,12.89186
270,2.66365,12.88664
271,2.67216,12.88137
272,2.68064,12.87607
273,2.68911,12.87072
274,2.69754,12.86534
275,2.70595,12.85992
276,2.71434,12.85446
277,2.72270,12.84896
278,2.73104,12.84343
279,2.73935,12.83786
280,2.74764,12.83225
281,2.75590,12.82660
282,2.76414,12.82092
283,2.77236,12.81521
284,2.78054,12.80945
285,2.78871,12.80366
286,2.79685,12.79784
287,2.80496,12.79198
288,2.81305,12.78609
289,2.82112,12.78017
290,2.82916,12.77421
291,2.83717,12.76822
292,2.84516,12.76219
293,2.85313,12.75613
294,2.86107,12.75004
295,2.86898,12.74392
296,2.87687,12.73777
297,2.88474,12.73158
298,2.89258,12.72536
299,2.90040,12.71912
300,2.90819,12.71284
301,2.91596,12.70653
302,2.92370,12.70019
303,2.93142,12.69382
304,2.93912,12.68742
305,2.94679,12.68099
306,2.95443,12.67453
307,2.96205,12.66805
308,2.96965,12.66153
309,2.97722,12.65499
310,2.98477,12.64842
311,2.99229,12.64182
312,2.99979,12.63519
313,3.00726,12.62853
314,3.01471,12.62185
315,3.02213,12.61514
316,3.02953,12.60840
317,3.03690,12.60163
318,3.04425,12.59484
319,3.05158,12.58803
320,3.05888,12.58118
321,3.06616,12.57431
322,3.07341,12.56741
323,3.08063,12.56049
324,3.08784,12.55354
325,3.09501,12.54657
326,3.10217,12.53957
327,3.10930,12.53255
328,3.11640,12.52550
329,3.12348,12.51842
330,3.13053,12.51133
331,3.13756,12.50420
332,3.14457,12.49706
333,3.15155,12.48989
334,3.15851,12.48269
335,3.16544,12.47548
336,3.17235,12.46824
337,3.17923,12.46097
338,3.18609,12.45369
339,3.19292,12.44638
340,3.19974,12.43904
341,3.20652,12.43169
342,3.21328,12.42431
343,3.22002,12.41691
344,3.22674,12.40949
345,3.23343,12.40205
346,3.24010,12.39459
347,3.24674,12.38711
348,3.25336,12.37960
349,3.25995,12.37207
350,3.26653,12.36453
351,3.27308,12.35696
352,3.27960,12.34937
353,3.28610,12.34176
354,3.29258,12.33414
355,3.29904,12.32649
356,3.30547,12.31882
357,3.31188,12.31114
358,3.31826,12.30343
359,3.32463,12.29571
360,3.33097,12.28797
361,3.33728,12.28021
362,3.34358,12.27243
363,3.34985,12.26463
364,3.35610,12.25681
365,3.36233,12.24898
366,3.36853,12.24113
367,3.37472,12.23326
368,3.38088,12.22537
369,3.38702,12.21747
370,3.39313,12.20955
371,3.39923,12.20161
372,3.40530,12.19366
373,3.41135,12.18569
374,3.41738,12.17770
375,3.42339,12.16970
376,3.42938,12.16168
377,3.43535,12.15365
378,3.44129,12.14560
379,3.44722,12.13753
380,3.45312,12.12945
381,3.45900,12.12135
382,3.46486,12.11324
383,3.47071,12.10512
384,3.47653,12.09698
385,3.48233,12.08882
386,3.48811,12.08065
387,3.49387,12.07247
388,3.49961,12.06427
389,3.50533,12.05606
390,3.51103,12.04784
391,3.51671,12.03960
392,3.52238,12.03135
393,3.52802,12.02309
394,3.53364,12.01481
395,3.53925,12.00652
396,3.54483,11.99821
397,3.55040,11.98990
398,3.55595,11.98157
399,3.56148,11.97323
400,3.56699,11.96488
401,3.57248,11.95651
402,3.57796,11.94813
403,3.58341,11.93974
404,3.58885,11.93134
405,3.59427,11.92293
406,3.59968,11.91451
407,3.60506,11.90607
408,3.61043,11.89763
409,3.61578,11.88917
410,3.62112,11.88071
411,3.62643,11.87223
412,3.63173,11.86374
413,3.63702,11.85524
414,3.64229,11.84673
415,3.64754,11.83821
416,3.65277,11.82968
417,3.65799,11.82114
418,3.66319,11.81259
419,3.66838,11.80403
420,3.67355,11.79547
421,3.67870,11.78689
422,3.68384,11.77830
423,3.68896,11.76970
424,3.69407,11.76110
425,3.69916,11.75249
426,3.70424,11.74386
427,3.70931,11.73523
428,3.71435,11.72659
429,3.71939,11.71794
430,3.72441,11.70928
431,3.72941,11.70062
432,3.73441,11.69194
433,3.73938,11.68326
434,3.74435,11.67457
435,3.74930,11.66588
436,3.75423,11.65717
437,3.75916,11.64846
438,3.76407,11.63974
