y Tt Y0 Y1
-0.0127 286.651256 0.994864037 0.00513596319
-0.012446 286.651873 0.994837642 0.0051623579
-0.012192 286.652769 0.994806817 0.005193183
-0.011938 286.654062 0.994770962 0.00522903813
-0.011684 286.65591 0.994729424 0.00527057649
-0.01143 286.65853 0.994681495 0.0053185046
-0.011176 286.662213 0.994626419 0.00537358099
-0.010922 286.667345 0.994563386 0.00543661355
-0.010668 286.674436 0.994491544 0.00550845562
-0.010414 286.684149 0.99441 0.00559000036
-0.01016 286.69734 0.994317826 0.00568217359
-0.009906 286.715098 0.994214075 0.00578592465
-0.009652 286.7388 0.994097784 0.00590221557
-0.009398 286.770157 0.993967992 0.00603200812
-0.009144 286.811282 0.993823751 0.0061762491
-0.00889 286.864744 0.993664146 0.00633585367
-0.008636 286.93363 0.993488313 0.00651168694
-0.008382 287.021605 0.993295456 0.00670454404
-0.008128 287.132958 0.993084871 0.00691512879
-0.007874 287.272635 0.992855969 0.00714403136
-0.00762 287.446262 0.992608295 0.00739170536
-0.007366 287.660126 0.992341555 0.00765844457
-0.007112 287.921139 0.99205564 0.00794436018
-0.006858 288.236749 0.991750641 0.00824935869
-0.006604 288.614812 0.991426879 0.00857312134
-0.00635 289.063411 0.991084914 0.00891508565
-0.006096 289.590623 0.99072557 0.00927442953
-0.005842 290.204225 0.990349941 0.00965005883
-0.005588 290.91136 0.989959401 0.0100405987
-0.005334 291.718146 0.98955561 0.0104443896
-0.00508 292.629263 0.989140512 0.0108594879
-0.004826 293.647515 0.988716328 0.0112836721
-0.004572 294.773397 0.988285545 0.0117144549
-0.004318 296.004684 0.9878509 0.0121491005
-0.004064 297.336074 0.987415352 0.012584648
-0.00381 298.758905 0.986982059 0.013017941
-0.003556 300.260974 0.986554339 0.0134456615
-0.003302 301.826484 0.98613563 0.01386437
-0.003048 303.436137 0.985729451 0.0142705495
-0.002794 305.067386 0.985339347 0.0146606526
-0.00254 306.694852 0.984968847 0.0150311529
-0.002286 308.290902 0.984621404 0.0153785964
-0.002032 309.826374 0.984300345 0.0156996554
-0.001778 311.271428 0.984008819 0.0159911808
-0.001524 312.596491 0.983749747 0.0162502534
-0.00127 313.773246 0.983525767 0.0164742325
-0.001016 314.775633 0.983339199 0.016660801
-0.000762 315.58081 0.983191995 0.0168080045
-0.000508 316.170011 0.983085714 0.0169142863
-0.000254 316.529276 0.983021486 0.0169785139
0 316.65 0.983 0.017
0.000254 316.529276 0.983021486 0.0169785139
0.000508 316.170011 0.983085714 0.0169142863
0.000762 315.58081 0.983191995 0.0168080045
0.001016 314.775633 0.983339199 0.016660801
0.00127 313.773246 0.983525767 0.0164742325
0.001524 312.596491 0.983749747 0.0162502534
0.001778 311.271428 0.984008819 0.0159911808
0.002032 309.826374 0.984300345 0.0156996554
0.002286 308.290902 0.984621404 0.0153785964
0.00254 306.694852 0.984968847 0.0150311529
0.002794 305.067386 0.985339347 0.0146606526
0.003048 303.436137 0.985729451 0.0142705495
0.003302 301.826484 0.98613563 0.01386437
0.003556 300.260974 0.986554339 0.0134456615
0.00381 298.758905 0.986982059 0.013017941
0.004064 297.336074 0.987415352 0.012584648
0.004318 296.004684 0.9878509 0.0121491005
0.004572 294.773397 0.988285545 0.0117144549
0.004826 293.647515 0.988716328 0.0112836721
0.00508 292.629263 0.989140512 0.0108594879
0.005334 291.718146 0.98955561 0.0104443896
0.005588 290.91136 0.989959401 0.0100405987
0.005842 290.204225 0.990349941 0.00965005883
0.006096 289.590623 0.99072557 0.00927442953
0.00635 289.063411 0.991084914 0.00891508565
0.006604 288.614812 0.991426879 0.00857312134
0.006858 288.236749 0.991750641 0.00824935869
0.007112 287.921139 0.99205564 0.00794436018
0.007366 287.660126 0.992341555 0.00765844457
0.00762 287.446262 0.992608295 0.00739170536
0.007874 287.272635 0.992855969 0.00714403136
0.008128 287.132958 0.993084871 0.00691512879
0.008382 287.021605 0.993295456 0.00670454404
0.008636 286.93363 0.993488313 0.00651168694
0.00889 286.864744 0.993664146 0.00633585367
0.009144 286.811282 0.993823751 0.0061762491
0.009398 286.770157 0.993967992 0.00603200812
0.009652 286.7388 0.994097784 0.00590221557
0.009906 286.715098 0.994214075 0.00578592465
0.01016 286.69734 0.994317826 0.00568217359
0.010414 286.684149 0.99441 0.00559000036
0.010668 286.674436 0.994491544 0.00550845562
0.010922 286.667345 0.994563386 0.00543661355
0.011176 286.662213 0.994626419 0.00537358099
0.01143 286.65853 0.994681495 0.0053185046
0.011684 286.65591 0.994729424 0.00527057649
0.011938 286.654062 0.994770962 0.00522903813
0.012192 286.652769 0.994806817 0.005193183
0.012446 286.651873 0.994837642 0.0051623579
0.0127 286.651256 0.994864037 0.00513596319
