step,g_max,exit_g_avg,onset_x_wall,x30_j4,wall_M_exit,exit_M_avg
12000,0.016300803,0.0058441949,15.916854,18.690275,3.8786151,4.049901
16000,0.016301038,0.0058442405,15.916854,18.690275,3.8785942,4.0499005
20000,0.016301416,0.005844322,15.916854,18.690275,3.8785887,4.0498986
24000,0.016301602,0.0058443164,15.916854,18.690275,3.8785892,4.0498981
